ts_utc,ccy,spread_pct,ccy_mean_spread_pct,spread_ratio,n_prior_readings
2026-09-04T18:05:33.588321+00:00,BOB,0.4415,0.5363,0.8232,51
2026-09-04T18:05:33.588321+00:00,LBP,1.1013,3.759,0.293,51
2026-09-04T19:05:32.470103+00:00,EGP,-0.1074,-0.0201,,52
2026-09-04T19:05:32.470103+00:00,PKR,0.0703,0.2168,0.3243,52
2026-09-04T19:05:32.470103+00:00,BDT,0.1615,0.4149,0.3892,52
2026-09-04T19:05:32.470103+00:00,VND,0.1239,0.1144,1.0832,52
2026-09-04T19:05:32.470103+00:00,KES,0.3441,0.375,0.9176,52
2026-09-04T19:05:32.470103+00:00,BOB,0.4422,0.5345,0.8273,52
2026-09-04T19:05:32.470103+00:00,LBP,1.3246,3.7079,0.3572,52
2026-09-04T20:05:33.118159+00:00,EGP,-0.039,-0.0218,,53
2026-09-04T20:05:33.118159+00:00,PKR,0.0985,0.214,0.4602,53
2026-09-04T20:05:33.118159+00:00,BDT,0.7421,0.4101,1.8093,53
2026-09-04T20:05:33.118159+00:00,VND,0.1355,0.1146,1.1828,53
2026-09-04T20:05:33.118159+00:00,KES,0.3133,0.3744,0.8368,53
2026-09-04T20:05:33.118159+00:00,BOB,0.4031,0.5328,0.7566,53
2026-09-04T20:05:33.118159+00:00,LBP,1.6529,3.6629,0.4513,53
2026-09-04T21:05:32.008961+00:00,EGP,0.0585,-0.0221,,54
2026-09-04T21:05:32.008961+00:00,PKR,-0.0317,0.2119,-0.1496,54
2026-09-04T21:05:32.008961+00:00,BDT,0.4097,0.4163,0.9842,54
