ts_utc,corridor,size,provider,old_cost_pct,new_cost_pct,move_pct,n_agree,n_panel,old_day,prev_day_cost_pct,kind
2026-09-07T00:00:00+00:00,SGD->PHP,200,PayPal,7.8757,7.9474,0.0718,3,4,2026-09-06,7.8872,change
2026-09-07T00:00:00+00:00,SGD->PHP,1000,OFX,5.3752,5.2444,-0.1308,4,5,2026-09-06,5.3592,change
2026-09-07T00:00:00+00:00,SGD->PHP,1000,PayPal,5.4505,5.5453,0.0948,4,5,2026-09-06,5.4819,change
2026-09-07T00:00:00+00:00,SGD->PHP,5000,OFX,4.2229,4.09,-0.1329,4,5,2026-09-06,4.2062,change
2026-09-07T00:00:00+00:00,SGD->PHP,5000,PayPal,4.9695,5.0648,0.0953,4,5,2026-09-06,5.0009,change
2026-09-07T00:00:00+00:00,SGD->PHP,25000,OFX,3.2141,3.0796,-0.1345,4,5,2026-09-06,3.1969,change
2026-09-07T00:00:00+00:00,SGD->PHP,25000,PayPal,4.8733,4.9688,0.0954,4,5,2026-09-06,4.9047,change
2026-09-07T00:00:00+00:00,SGD->PHP,50000,OFX,3.2105,3.0796,-0.1309,3,4,2026-09-06,3.1969,change
2026-09-07T00:00:00+00:00,USD->MXN,200,OFX,5.426,4.5646,-0.8614,6,7,2026-09-06,5.5727,weekend_back
2026-09-07T00:00:00+00:00,USD->MXN,200,PayPal,6.4525,6.598,0.1455,6,7,2026-09-06,6.6193,change
2026-09-07T00:00:00+00:00,USD->MXN,1000,OFX,3.4895,2.6069,-0.8825,6,7,2026-09-06,3.6357,weekend_back
2026-09-07T00:00:00+00:00,USD->MXN,1000,PayPal,4.5401,4.686,0.1459,6,7,2026-09-06,4.7078,change
2026-09-07T00:00:00+00:00,USD->MXN,5000,OFX,2.0632,1.1658,-0.8974,6,7,2026-09-06,2.2102,weekend_back
2026-09-07T00:00:00+00:00,USD->MXN,5000,PayPal,4.1571,4.3037,0.1465,6,7,2026-09-06,4.3255,change
2026-09-07T00:00:00+00:00,USD->MXN,25000,OFX,2.0632,1.1658,-0.8974,4,5,2026-09-06,2.2102,weekend_back
2026-09-07T00:00:00+00:00,USD->MXN,50000,OFX,2.0606,1.1658,-0.8948,3,4,2026-09-06,2.2102,weekend_back
2026-09-08T00:00:00+00:00,SGD->PHP,200,PayPal,8.0843,7.5781,-0.5062,3,4,2026-09-07,7.9474,change
2026-09-08T00:00:00+00:00,SGD->PHP,1000,PayPal,5.6727,5.1688,-0.5039,4,5,2026-09-07,5.5453,change
2026-09-08T00:00:00+00:00,SGD->PHP,5000,PayPal,5.1911,4.6871,-0.5041,4,5,2026-09-07,5.0648,change
2026-09-08T00:00:00+00:00,SGD->PHP,25000,PayPal,5.095,4.5907,-0.5044,4,5,2026-09-07,4.9688,change
2026-09-08T00:00:00+00:00,SGD->PHP,50000,OFX,3.187,3.0652,-0.1217,3,4,2026-09-07,3.0796,change
